group1,n1,mean1,group2,n2,mean2,t_stat,p_value,significant,metric
3x Spike,1349,0.001231704225352113,No Spike,44234,0.00023696778496179412,1.293928622115085,0.19569663304674972,False,AR[0]
3x Spike,1349,-0.0031999184581171236,No Spike,44244,0.0001802031009854444,-2.0640853528634517,0.03901526880026673,True,"CAR[+1,+5]"
3x Spike,1349,-0.005823684210526315,No Spike,44244,-0.0005170066449688093,-1.710374867081223,0.08720337903721258,False,"CAR[+1,+20]"
5x Spike,3837,-0.0004415629397967161,No Spike,44234,0.00023696778496179412,-1.433618964485977,0.1516875328926595,False,AR[0]
5x Spike,3837,0.0003380203283815479,No Spike,44244,0.0001802031009854444,0.15911911669903953,0.8735756955090467,False,"CAR[+1,+5]"
5x Spike,3837,0.0007054414907479802,No Spike,44244,-0.0005170066449688093,0.6532582250793422,0.5135929429511288,False,"CAR[+1,+20]"
10x Spike,13277,0.0002996380206371923,No Spike,44234,0.00023696778496179412,0.20960051031668012,0.8339802237657249,False,AR[0]
10x Spike,13278,0.00027629386955866844,No Spike,44244,0.0001802031009854444,0.1698004819527594,0.8651676450390173,False,"CAR[+1,+5]"
10x Spike,13278,9.265762916101816e-05,No Spike,44244,-0.0005170066449688093,0.5747955110769257,0.5654318510763535,False,"CAR[+1,+20]"
