,Velocity Q1,Velocity Q2,Velocity Q3,Velocity Q4
Surprise Q1,-0.006540141307622778,-0.0013018714245256302,-0.0009905703488372092,-0.0015640375030244373
Surprise Q2,-0.003472528738690793,-0.006153942583732057,-0.003058525039957379,-0.0010701146929080422
Surprise Q3,0.00439558290918832,-0.0033539470684039088,7.848935596874154e-05,-0.0005488664736164736
Surprise Q4,0.006706448356807512,0.006168208037825059,0.0033996257915947033,0.0019940450321658328
