surprise_q,velocity_q,mean,count
1,1,0.0013,3319
1,2,0.0001,3531
1,3,-0.0001,3440
1,4,0.0004,4133
2,1,0.0001,3758
2,2,-0.002,3762
2,3,-0.0008,3754
2,4,-0.0007,2947
3,1,0.0005,3733
3,2,-0.0013,3684
3,3,0.0001,3711
3,4,-0.0013,3108
4,1,0.0012,3408
4,2,0.0012,3384
4,3,0.0009,3474
4,4,0.0018,4197
