surprise_q,velocity_q,mean,count
1,1,-0.0065,3319
1,2,-0.0013,3531
1,3,-0.001,3440
1,4,-0.0016,4133
2,1,-0.0035,3758
2,2,-0.0062,3762
2,3,-0.0031,3754
2,4,-0.0011,2947
3,1,0.0044,3733
3,2,-0.0034,3684
3,3,0.0001,3711
3,4,-0.0005,3108
4,1,0.0067,3408
4,2,0.0062,3384
4,3,0.0034,3474
4,4,0.002,4197
